ResponseId,cluster_id,persona_label
1,0,Java / JVM Backend Developer
2,0,Java / JVM Backend Developer
3,5,Modern JavaScript / TypeScript Developer
5,1,.NET / Microsoft Ecosystem Developer
6,0,Java / JVM Backend Developer
7,5,Modern JavaScript / TypeScript Developer
8,4,Python Backend & Data Developer
9,0,Java / JVM Backend Developer
11,0,Java / JVM Backend Developer
16,2,Cloud-Native Full-Stack Developer
18,4,Python Backend & Data Developer
19,0,Java / JVM Backend Developer
23,1,.NET / Microsoft Ecosystem Developer
24,2,Cloud-Native Full-Stack Developer
26,3,PHP / LAMP Web Developer
27,1,.NET / Microsoft Ecosystem Developer
29,5,Modern JavaScript / TypeScript Developer
30,2,Cloud-Native Full-Stack Developer
31,4,Python Backend & Data Developer
32,5,Modern JavaScript / TypeScript Developer
33,1,.NET / Microsoft Ecosystem Developer
34,1,.NET / Microsoft Ecosystem Developer
36,5,Modern JavaScript / TypeScript Developer
37,5,Modern JavaScript / TypeScript Developer
39,1,.NET / Microsoft Ecosystem Developer
40,5,Modern JavaScript / TypeScript Developer
41,3,PHP / LAMP Web Developer
42,5,Modern JavaScript / TypeScript Developer
43,2,Cloud-Native Full-Stack Developer
45,5,Modern JavaScript / TypeScript Developer
46,0,Java / JVM Backend Developer
48,5,Modern JavaScript / TypeScript Developer
49,1,.NET / Microsoft Ecosystem Developer
50,2,Cloud-Native Full-Stack Developer
51,5,Modern JavaScript / TypeScript Developer
53,1,.NET / Microsoft Ecosystem Developer
54,5,Modern JavaScript / TypeScript Developer
55,3,PHP / LAMP Web Developer
56,0,Java / JVM Backend Developer
58,3,PHP / LAMP Web Developer
59,4,Python Backend & Data Developer
60,1,.NET / Microsoft Ecosystem Developer
61,0,Java / JVM Backend Developer
62,4,Python Backend & Data Developer
63,1,.NET / Microsoft Ecosystem Developer
64,5,Modern JavaScript / TypeScript Developer
65,3,PHP / LAMP Web Developer
67,1,.NET / Microsoft Ecosystem Developer
68,0,Java / JVM Backend Developer
69,3,PHP / LAMP Web Developer
70,4,Python Backend & Data Developer
71,4,Python Backend & Data Developer
74,4,Python Backend & Data Developer
75,5,Modern JavaScript / TypeScript Developer
77,5,Modern JavaScript / TypeScript Developer
78,1,.NET / Microsoft Ecosystem Developer
81,3,PHP / LAMP Web Developer
83,1,.NET / Microsoft Ecosystem Developer
84,1,.NET / Microsoft Ecosystem Developer
85,1,.NET / Microsoft Ecosystem Developer
90,4,Python Backend & Data Developer
91,3,PHP / LAMP Web Developer
92,1,.NET / Microsoft Ecosystem Developer
94,4,Python Backend & Data Developer
97,1,.NET / Microsoft Ecosystem Developer
98,1,.NET / Microsoft Ecosystem Developer
